URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,,,,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id
https://data.bayanat.ae,databayanatae,UAE Open Data Portal,Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,active,TRUE,,,,https://www.gov.ae,"government,has_api",EN,,,,,
https://opendata.fcsc.gov.ae,opendatafcscgovae,UAE Open Data (Portaljs),Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,active,TRUE,,,,https://www.gov.ae,"government,has_api",EN,,,,,
https://datos.ambiente.gob.ar,datosambientegobar,Datos Abiertos de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://ambiente.gob.ar,"government,has_api",ES,,,,,
https://datos.cultura.gob.ar,datosculturagobar,Datos abiertos de cultura,Ministerio de cultura Argentina,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://cultura.gob.ar,"government,has_api",ES,,,,,
https://datosestadistica.cba.gov.ar,datosestadisticacbagovar,Datos Abiertos Destacados,Dirección General de Estadística y Censos,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://cba.gov.ar,"government,has_api",ES,,,,,
https://datos.magyp.gob.ar,datosmagypgobar,"Datos Agricultura, Ganaderia y Pesca","Ministerio de Agricultura, Ganadería y Pesca",open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://www.magyp.gob.ar,"government,has_api",ES,,,,,
https://datos.minem.gob.ar,datosminemgobar,Datos Abiertos de la Secretaria de Energia,Secretaria de Energia,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
https://datos.mininterior.gob.ar,datosmininteriorgobar,Datos Abiertos del Ministerio del Interior,Ministerio del Interior,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://www.argentina.gob.ar/interior,"government,has_api",ES,,,,,
https://www.datos.misiones.gob.ar,datosmisionesgobar,Portal de Datos Abiertos del Gobierno de Misiones,Gobierno de Misiones,open,Local government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://misiones.gob.ar,"government,has_api",ES,,,,,
https://datos.yvera.gob.ar,datosyveragobar,Datos Abiertos de Turismo,Ministerio de Turismo y Deportes,open,Central government,,,AR,dataset,,Open data portal,active,active,TRUE,,,,https://www.yvera.tur.ar,"government,has_api",ES,,,,,
https://data.gv.at,datagvat,Offene Daten Österreich | data.gv.at,Government of Austria,open,Central government,,,AT,dataset,,Open data portal,active,active,TRUE,,,,https://www.gv.at,"government,has_api",DE,,,,,
https://data.ccca.ac.at,datacccaacat,CCCA Data Server,The Climate Change Centre Austria – CCCA,"open,limited",Academy,,,AT,dataset,,Scientific data repository,active,active,TRUE,,,,,"scientific,has_api",EN,,,,,
https://data.brisbane.qld.gov.au,databrisbaneqldgovau,Data | Brisbane City Council,Brisbane City Council,open,Local government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,https://www.brisbane.qld.gov.au,"government,has_api",EN,,,,,
https://data.datahub.freightaustralia.gov.au,datadatahubfreightaustraliagovau,National Freight Data Hub,,open,Central government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.maintenance.org.au,datamaintenanceorgau,Data - CTMTDS,,open,Academy,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,has_api,EN,,,,,
https://data.nsw.gov.au,datanswgovau,Data.NSW,,open,Regional government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.qld.gov.au,dataqldgovau,Open Data Portal | Queensland Government,,open,Regional government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.sa.gov.au,datasagovau,South Australian Government Data Directory,Government of South Australia,open,Regional government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://data.vic.gov.au,datavicgovau,Victorian Government Data Directory,State of Victoria,open,Regional government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://www.data.brisbane.qld.gov.au,wwwdatabrisbaneqldgovau,Data | Brisbane City Council,,open,Local government,,,AU,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://opendataprijedor.ba,opendataprijedorba,Otvoreni podaci Grada Prijedor,Grad Prijedor,open,Local government,,,BA,dataset,,Open data portal,active,active,TRUE,,,,https://www.prijedorgrad.org,"government,has_api",SR,,,,,
https://dataplatformfiets.be,dataplatformfietsbe,Dataplatform fiets,,open,Academy,,,BE,dataset,,Open data portal,active,active,TRUE,,,,,has_api,NL,,,,,
https://opendatastore.brussels,opendatastorebrussels,Brussels open datastore,,open,Local government,,,BE,dataset,,Open data portal,uncertain,active,TRUE,,,,,"government,has_api",EN,,,,,
https://crec.bj,crecbj,The CREC Benin research data management platform,CREC Centre de Recherche d Etude et de Créativité,open,Academy,,,BJ,dataset,,Open data portal,active,active,TRUE,,,,https://www.crec.bj,"government,has_api",FR,,,,,
https://datosabiertos.lapaz.bo,datosabiertoslapazbo,Datos Abiertos Gobierno Autónomo Municipal de La Paz,Gobierno Autónomo Municipal de La Paz,open,Local government,,,BO,dataset,,Open data portal,active,active,TRUE,,,,https://www.lapaz.bo,"government,has_api",ES,,,,,
https://datos.gob.bo,datosgobbo,Datos Abiertos Bolivia,Government of Bolivia,open,Central government,,,BO,dataset,,Open data portal,active,active,TRUE,,,,https://www.gob.bo,"government,has_api",ES,,,,,
https://basedosdados.org,basedosdadosorg,Base dos Dados,,open,Business,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
http://catalogo.governoaberto.sp.gov.br,catalogogovernoabertospgovbr,Governo Aberto San Paulo,Governo San Paulo,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dadosabertos.ibama.gov.br,dadosabertosibamagovbr,The Brazilian Institute for the Environment and Renewable Natural Resources (Ibama) open data,The Brazilian Institute for the Environment and Renewable Natural Resources (Ibama),open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dadosabertos.prefeitura.poa.br,dadosabertosprefeiturapoabr,Dados Abertos - POA,,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dadosabertos.senado.gov.br,dadosabertossenadogovbr,Portal De Dados Abertos Do Senado Federal (brazil),,open,Central government,,,BR,dataset,,Open data portal,uncertain,active,TRUE,,,,,"government,has_api",EN,,,,,
https://dadosabertos.unilab.edu.br,dadosabertosunilabedubr,Dados Abertos Unilab,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ana.gov.br,dadosanagovbr,Portal de Dados Abertos da ANA,National Water and Basic Sanitation Agency,open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.contraosagrotoxicos.org,dadoscontraosagrotoxicosorg,Portal de Dados Abertos Sobre Agrotóxicos,A Campanha Permanente Contra os Agrotóxicos e Pela Vida,open,Civil society,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.cultura.gov.br,dadosculturagovbr,Portal de Dados da Cultura,Ministry of Culture Brazil,open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.fortaleza.ce.gov.br,dadosfortalezacegovbr,Fortaleza Dados Abertos,Fortaleza,open,Local government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.ifms.edu.br,dadosifmsedubr,Dados Abertos,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ifmt.edu.br,dadosifmtedubr,Dados Abertos do IFMT,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ifro.edu.br,dadosifroedubr,Dados Abertos | IFRO,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ifsertao-pe.edu.br,dadosifsertaopeedubr,Dados Abertos IF Sertão-PE,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dadosjuventude.ibict.br,dadosjuventudeibictbr,dadosJuventude,,open,Academy,,,BR,dataset,,Open data portal,deprecated,active,TRUE,,,,,has_api,PT,,,,,
https://dados.mda.gov.br,dadosmdagovbr,The Special Secretariat for Family Agriculture and Agrarian Development data portal,The Special Secretariat for Family Agriculture and Agrarian Development (Brazil),open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.natal.br,dadosnatalbr,Portal da Transparência da Mobilidade Urbana de Natal,,open,Local government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.pbh.gov.br,dadospbhgovbr,Belo Horizonte City Hall Open Data Portal,Belo Horizonte City Hall,open,Local government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.prefeitura.sp.gov.br,dadosprefeituraspgovbr,Portal de Dados Abertos da Cidade de São Paulo,City of San Paulo,open,Local government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.recife.pe.gov.br,dadosrecifepegovbr,Portal de Dados Abertos da Cidade do Recife,City of Recife,open,Local government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.tce.rs.gov.br,dadostcersgovbr,Dados Abertos TCE-RS,COURT OF AUDIT OF THE STATE OF RIO GRANDE DO SUL,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",PT,,,,,
https://dados.ufop.br,dadosufopbr,UFOP Dados Abertos,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ufpel.edu.br,dadosufpeledubr,Dados Abertos da UFPel,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ufpr.br,dadosufprbr,Universidade Federal do Paraná - UFPR,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ufrr.br,dadosufrrbr,Dados Abertos da Universidade Federal de Roraima,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ufsm.br,dadosufsmbr,UFSM Dados aberto,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://web.transparencia.pe.gov.br,webtransparenciapegovbr,Portal da Transparência – Governo de Pernambuco,Governo de Pernambuco,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,https://pe.gov.br,"government,has_api",PT,,,,,
https://www.dados.univasf.edu.br,wwwdadosunivasfedubr,Dados UNIVASF,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://www.tesourotransparente.gov.br,wwwtesourotransparentegovbr,Tesouro Nacional dados abertos,Tesouro Nacional,open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,https://www.gov.br/tesouronacional/pt-br,"government,has_api",PT,,,,,
https://www.transparencia.mg.gov.br,wwwtransparenciamggovbr,Portal da Transparência é uma iniciativa do Governo do Estado de Minas Gerais,Estado de Minas Gerais,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
