URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,,,,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id,description,api_title,primary_language
https://data.bayanat.ae,databayanatae,UAE Open Data Portal,Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://opendata.fcsc.gov.ae,opendatafcscgovae,UAE Open Data (Portaljs),Government of UAE,open,Central government,,,AE,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://datos.ambiente.gob.ar,datosambientegobar,Datos Abiertos de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://datos.cultura.gob.ar,datosculturagobar,Datos abiertos de cultura,Ministerio de cultura Argentina,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://datosestadistica.cba.gov.ar,datosestadisticacbagovar,Datos Abiertos Destacados,Dirección General de Estadística y Censos,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://datos.magyp.gob.ar,datosmagypgobar,"Datos Agricultura, Ganaderia y Pesca","Ministerio de Agricultura, Ganadería y Pesca",open,Central government,,,AR,dataset,,Open data portal,active,,,,2.7.6,"stats, text_view, image_view, recline_grid_view, hierarchy_display, hierarchy_form, dcat, structured_data, gobar_theme, datastore, seriestiempoarexplorer, xloader, googleanalytics",soporte-datos@magyp.gob.ar,"government,has_api",ES,147,38,0,,,,,es
https://datos.minem.gob.ar,datosminemgobar,Datos Abiertos de la Secretaria de Energia,Secretaria de Energia,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://datos.mininterior.gob.ar,datosmininteriorgobar,Datos Abiertos del Ministerio del Interior,Ministerio del Interior,open,Central government,,,AR,dataset,,Open data portal,active,,,,2.7.6,"stats, text_view, image_view, recline_view, hierarchy_display, hierarchy_form, dcat, structured_data, gobar_theme, datastore, datapusher, seriestiempoarexplorer, googleanalytics",abellorin@mininterior.gob.ar,"government,has_api",ES,3,13,0,,,,,es
https://www.datos.misiones.gob.ar,datosmisionesgobar,Portal de Datos Abiertos del Gobierno de Misiones,Gobierno de Misiones,open,Local government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://datos.yvera.gob.ar,datosyveragobar,Datos Abiertos de Turismo,Ministerio de Turismo y Deportes,open,Central government,,,AR,dataset,,Open data portal,active,,,,,,,"government,has_api",ES,0,0,0,,,,,
https://data.gv.at,datagvat,Offene Daten Österreich | data.gv.at,Government of Austria,open,Central government,,,AT,dataset,,Open data portal,active,,,,,,,"government,has_api",DE,0,0,0,,,,,
https://data.ccca.ac.at,datacccaacat,CCCA Data Server,The Climate Change Centre Austria  CCCA,"open,limited",Academy,,,AT,dataset,,Scientific data repository,active,,,,,,,"scientific,has_api",EN,0,0,0,,,,,
https://data.brisbane.qld.gov.au,databrisbaneqldgovau,Data | Brisbane City Council,Brisbane City Council,open,Local government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://data.datahub.freightaustralia.gov.au,datadatahubfreightaustraliagovau,National Freight Data Hub,,open,Central government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://data.maintenance.org.au,datamaintenanceorgau,Data - CTMTDS,,open,Academy,,,AU,dataset,,Open data portal,active,,,,,,,has_api,EN,0,0,0,,,,,
https://data.nsw.gov.au,datanswgovau,Data.NSW,,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://data.qld.gov.au,dataqldgovau,Open Data Portal | Queensland Government,,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,"stats, resource_proxy, text_view, webpage_view, image_view, audio_view, video_view, datatables_view, datastore, data_qld, data_qld_google_analytics, dcat, structured_data, validation, resource_type_validation, validation_schema_generator, qgovext, report, datarequests, ytp_comments, csrf_filter, scheming_datasets, qa, archiver, harvest, ckan_harvester, resource_visibility, ssm_config, xloader, s3filestore, oidc_pkce, activity",,"government,has_api",EN,188627,0,0,,,,Open Data Portal | Queensland Government,en_AU
https://data.sa.gov.au,datasagovau,South Australian Government Data Directory,Government of South Australia,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://data.vic.gov.au,datavicgovau,Victorian Government Data Directory,State of Victoria,open,Regional government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
https://www.data.brisbane.qld.gov.au,wwwdatabrisbaneqldgovau,Data | Brisbane City Council,,open,Local government,,,AU,dataset,,Open data portal,active,,,,,,,"government,has_api",EN,0,0,0,,,,,
